Date,Close,Volume,Open,High,Low
05/23/2022,$66.06,875608,$66.21,$66.45,$64.00
05/24/2022,$64.59,1100691,$65.56,$65.61,$63.83
05/25/2022,$66.04,779645,$64.88,$66.20,$64.16
05/26/2022,$68.08,801739,$66.00,$68.48,$65.75
05/27/2022,$72.01,1575760,$68.60,$72.15,$68.60
05/31/2022,$70.61,1428333,$72.15,$73.49,$69.98
06/01/2022,$70.87,1319540,$70.61,$71.75,$69.495
06/02/2022,$74.24,1562711,$70.85,$74.64,$70.62
06/03/2022,$74.93,1131643,$73.14,$76.20,$73.14
06/06/2022,$71.99,3519398,$76.72,$76.72,$71.58
06/07/2022,$72.00,1711644,$71.21,$72.02,$70.53
06/08/2022,$71.69,858780,$71.75,$72.87,$70.61
06/09/2022,$69.83,1116119,$70.93,$71.86,$69.77
06/10/2022,$68.00,1240921,$68.23,$68.95,$67.07
06/13/2022,$63.13,1400303,$65.14,$66.06,$62.77
06/14/2022,$61.95,1086956,$63.805,$64.15,$61.075
06/15/2022,$64.03,1474848,$62.50,$64.49,$61.51
06/16/2022,$62.01,2262666,$62.01,$64.29,$60.77
06/17/2022,$66.71,2488203,$62.85,$67.53,$62.85
06/21/2022,$68.20,2214096,$68.19,$69.00,$66.5704
06/22/2022,$67.60,1473508,$66.664,$68.74,$66.664
06/23/2022,$69.60,1354622,$68.55,$69.87,$67.50
06/24/2022,$70.07,1271854,$70.25,$70.60,$68.21
06/27/2022,$70.62,916681,$70.38,$71.53,$69.51
06/28/2022,$67.75,1431744,$70.88,$70.96,$67.56
06/29/2022,$66.84,1231945,$66.78,$67.4899,$65.52
06/30/2022,$68.13,1050113,$66.09,$68.76,$65.55
07/01/2022,$68.15,1079760,$67.58,$68.89,$67.24
07/05/2022,$66.23,1545383,$66.87,$67.33,$62.39
07/06/2022,$66.16,1383837,$66.25,$67.3799,$65.50
07/07/2022,$70.64,1369431,$67.16,$71.00,$67.16
07/08/2022,$72.51,1343234,$69.89,$73.54,$69.58
07/11/2022,$69.29,1004732,$71.45,$72.01,$69.13
07/12/2022,$68.42,1417067,$69.48,$69.88,$67.38
07/13/2022,$69.16,972826,$67.29,$69.2588,$66.345
07/14/2022,$71.04,1478151,$68.56,$71.35,$67.16
07/15/2022,$65.27,7230955,$67.79,$68.13,$60.96
07/18/2022,$67.005,1940615,$66.30,$69.00,$65.46
07/19/2022,$70.65,2109540,$67.53,$71.80,$67.005
07/20/2022,$72.98,1361147,$70.65,$73.41,$70.37
07/21/2022,$73.26,1135365,$73.38,$73.50,$71.45
07/22/2022,$72.59,1239207,$73.37,$73.99,$71.52
07/25/2022,$74.15,1165367,$72.29,$74.39,$71.085
07/26/2022,$73.57,887744,$73.78,$74.19,$72.71
07/27/2022,$76.76,1714634,$75.46,$77.50,$74.18
07/28/2022,$88.50,7707210,$89.63,$92.54,$87.34
07/29/2022,$99.17,9557475,$90.43,$102.12,$90.16
08/01/2022,$99.49,3539365,$98.97,$101.38,$96.39
08/02/2022,$99.72,2467454,$98.01,$101.635,$97.26
08/03/2022,$97.89,3008591,$101.80,$101.88,$95.77
08/04/2022,$99.17,1774606,$97.43,$99.87,$96.00
08/05/2022,$101.90,3322492,$102.03,$103.90,$99.36
08/08/2022,$106.74,6303350,$109.20,$114.32,$106.57
08/09/2022,$109.01,3332977,$104.31,$110.22,$103.51
08/10/2022,$114.51,3312597,$111.83,$115.34,$108.73
08/11/2022,$114.58,3137198,$117.35,$118.00,$114.00
08/12/2022,$117.965,2476136,$115.10,$118.11,$113.66
08/15/2022,$118.22,2993729,$117.41,$121.91,$116.015
08/16/2022,$116.99,1808430,$117.50,$119.37,$116.47
08/17/2022,$116.30,1765161,$115.14,$116.81,$113.89
08/18/2022,$117.82,2315935,$118.74,$121.34,$117.58
08/19/2022,$115.41,1655452,$114.71,$116.2619,$113.42
08/22/2022,$114.48,1863899,$112.25,$115.734,$111.20
08/23/2022,$114.42,1066393,$115.27,$116.89,$113.58
08/24/2022,$118.44,1947115,$113.80,$119.575,$113.80
08/25/2022,$121.69,1942581,$118.99,$121.74,$118.40
